feature,importance
target_day,327
target_dayofweek,261
target_month,169
horizon,165
same_dow_mean_13,151
roll_mean_180,118
active_days_180,117
same_dow_mean_4,105
roll_mean_112,98
roll_mean_56,95
roll_max_56,93
roll_max_180,88
same_dow_mean_8,87
active_days_112,87
roll_max_112,81
days_since_last_sale_365,60
return_rate_qty,48
qty_364_days_ago,44
qty_56_days_ago,43
active_days_56,42
qty_28_days_ago,41
roll_mean_14,40
roll_mean_7,38
qty_7_days_ago,37
qty_14_days_ago,36
log_positive_profit,36
active_days_total,33
roll_mean_28,29
active_days_28,26
roll_max_28,25
roll_max_7,23
roll_std_180,17
roll_max_14,17
roll_std_7,15
active_days_14,14
target_is_sunday,14
active_days_7,11
roll_std_56,9
log_profit_rank,8
roll_std_14,7
roll_std_28,6
roll_std_112,5
target_is_saturday,4
metric_weight,2
qty_last_day,0
